municipalityCode,population,populationAsOf,areaKm2,areaAsOf
13220,83901,2020-10-01,,
13221,76208,2020-10-01,,
13222,115271,2020-10-01,,
13223,70829,2020-10-01,,
13224,146951,2020-10-01,,
13225,93151,2020-10-01,,
13227,54326,2020-10-01,,
13228,79292,2020-10-01,,
13229,207388,2020-10-01,,
13303,31765,2020-10-01,,
13305,16958,2020-10-01,,
13307,2003,2020-10-01,,
13308,4750,2020-10-01,,
13361,7102,2020-10-01,,
13362,327,2020-10-01,,
13363,2441,2020-10-01,,
13364,1855,2020-10-01,,
13381,2273,2020-10-01,,
13382,323,2020-10-01,,
13401,7042,2020-10-01,,
13402,169,2020-10-01,,
13421,2929,2020-10-01,,
14201,388078,2020-10-01,,
14203,258422,2020-10-01,,
14204,172710,2020-10-01,,
14205,436905,2020-10-01,,
14206,188856,2020-10-01,,
14207,242389,2020-10-01,,
14208,57060,2020-10-01,,
14210,42069,2020-10-01,,
14211,162439,2020-10-01,,
14212,223705,2020-10-01,,
14213,239169,2020-10-01,,
14214,101780,2020-10-01,,
14215,136516,2020-10-01,,
14216,132325,2020-10-01,,
14217,40841,2020-10-01,,
14218,83913,2020-10-01,,
14301,31665,2020-10-01,,
14321,48348,2020-10-01,,
14341,31634,2020-10-01,,
14342,27564,2020-10-01,,
14361,9300,2020-10-01,,
14362,17129,2020-10-01,,
14363,10836,2020-10-01,,
14364,9761,2020-10-01,,
14366,18329,2020-10-01,,
14382,11293,2020-10-01,,
14383,6722,2020-10-01,,
14384,23426,2020-10-01,,
14401,39869,2020-10-01,,
14402,3038,2020-10-01,,
15202,266936,2020-10-01,,
15204,94642,2020-10-01,,
15205,81526,2020-10-01,,
15206,94927,2020-10-01,,
15208,34096,2020-10-01,,
15209,25441,2020-10-01,,
15210,49820,2020-10-01,,
15211,39237,2020-10-01,,
15212,57418,2020-10-01,,
15213,77201,2020-10-01,,
15216,40765,2020-10-01,,
15217,30383,2020-10-01,,
15218,47625,2020-10-01,,
15222,188047,2020-10-01,,
15223,40696,2020-10-01,,
15224,51492,2020-10-01,,
15225,34483,2020-10-01,,
15226,54851,2020-10-01,,
15227,28509,2020-10-01,,
15307,14259,2020-10-01,,
15342,7705,2020-10-01,,
15361,11227,2020-10-01,,
15385,9965,2020-10-01,,
15405,4113,2020-10-01,,
15461,7767,2020-10-01,,
15482,8989,2020-10-01,,
15504,4380,2020-10-01,,
15581,5144,2020-10-01,,
15586,353,2020-10-01,,
16201,413938,2020-10-01,,
16202,166393,2020-10-01,,
16204,40535,2020-10-01,,
16205,43950,2020-10-01,,
